                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62813,                 2.8213,                 1.1465,                0.75436,                0.75905,                0.78793,                0.72906,                0.39852,                 1.0022,                0.96819,             5.0509e-05,             5.0509e-05,             5.0509e-05
                      2,                0.58137,                 1.1653,                 1.0949,                0.88322,                0.84871,                 0.9055,                0.83633,                0.39088,                0.64094,                0.94806,             9.9507e-05,             9.9507e-05,             9.9507e-05
                      3,                 0.5719,                0.88776,                 1.0808,                0.89779,                0.88157,                0.93273,                0.85945,                  0.406,                0.55442,                0.96672,             0.00014683,             0.00014683,             0.00014683
                      4,                0.57261,                0.77788,                 1.0782,                0.93006,                0.89642,                0.94428,                0.87393,                0.39324,                0.47919,                0.95088,             0.00014448,             0.00014448,             0.00014448
                      5,                 0.5644,                0.68975,                 1.0738,                0.92513,                0.92206,                0.95549,                0.89003,                0.37563,                0.43933,                0.94205,             0.00014197,             0.00014197,             0.00014197
                      6,                0.56436,                0.63842,                 1.0747,                 0.9203,                0.92754,                0.95907,                0.89246,                0.38147,                0.40834,                0.94591,             0.00013946,             0.00013946,             0.00013946
                      7,                0.54977,                0.60082,                 1.0663,                0.93727,                 0.9325,                0.96772,                0.90242,                0.37156,                0.38256,                0.93536,             0.00013695,             0.00013695,             0.00013695
                      8,                0.55242,                0.57825,                 1.0616,                0.93849,                0.94342,                0.96765,                0.90207,                0.37008,                0.34953,                0.93695,             0.00013444,             0.00013444,             0.00013444
                      9,                0.54229,                0.55493,                 1.0611,                 0.9391,                0.94428,                0.96313,                0.90158,                0.36145,                0.33639,                0.93214,             0.00013194,             0.00013194,             0.00013194
                     10,                0.52271,                0.51335,                 1.0482,                 0.9473,                0.93441,                0.97007,                0.91481,                0.34542,                0.33482,                0.92201,             0.00012943,             0.00012943,             0.00012943
                     11,                0.51292,                0.49222,                 1.0411,                0.93757,                0.93064,                0.96097,                0.90274,                0.35746,                0.35848,                0.93709,             0.00012692,             0.00012692,             0.00012692
                     12,                0.52413,                0.49488,                 1.0458,                0.93988,                 0.9471,                0.96337,                0.89548,                0.37035,                0.35938,                0.94552,             0.00012441,             0.00012441,             0.00012441
                     13,                0.50438,                0.48087,                 1.0386,                 0.9368,                0.94685,                 0.9681,                0.90672,                0.35458,                0.33135,                0.92611,              0.0001219,              0.0001219,              0.0001219
                     14,                0.50055,                0.45728,                 1.0322,                0.95594,                0.93126,                0.97104,                 0.9072,                0.36767,                0.32803,                0.93379,              0.0001194,              0.0001194,              0.0001194
                     15,                0.49459,                 0.4619,                 1.0291,                0.94329,                0.95356,                0.97359,                0.91501,                0.35291,                0.31078,                0.92627,             0.00011689,             0.00011689,             0.00011689
                     16,                0.48986,                0.44368,                 1.0293,                0.94641,                0.94796,                0.97073,                0.91341,                0.33744,                0.32821,                0.91796,             0.00011438,             0.00011438,             0.00011438
                     17,                 0.4865,                0.43771,                 1.0252,                0.95395,                0.95582,                0.96973,                0.91659,                0.34744,                0.28753,                0.92595,             0.00011187,             0.00011187,             0.00011187
                     18,                 0.4842,                0.42514,                 1.0277,                 0.9445,                0.95496,                0.97084,                 0.9142,                0.33943,                0.30894,                0.92344,             0.00010936,             0.00010936,             0.00010936
                     19,                  0.482,                0.41143,                 1.0275,                0.95363,                0.95125,                0.97458,                0.92412,                0.33465,                 0.2935,                0.91044,             0.00010686,             0.00010686,             0.00010686
                     20,                0.47916,                0.41431,                 1.0219,                 0.9463,                0.94562,                0.96829,                0.91515,                0.33706,                0.30729,                0.92939,             0.00010435,             0.00010435,             0.00010435
                     21,                0.47155,                0.40699,                 1.0239,                0.95056,                0.93426,                0.97136,                0.91723,                0.33645,                0.30375,                0.92837,             0.00010184,             0.00010184,             0.00010184
                     22,                0.45965,                0.39524,                 1.0147,                0.94941,                0.94806,                0.96929,                0.91126,                0.34507,                0.29564,                0.92281,             9.9332e-05,             9.9332e-05,             9.9332e-05
                     23,                0.44811,                0.37602,                 1.0062,                0.95425,                0.95277,                 0.9756,                0.91904,                0.34016,                0.28776,                0.92604,             9.6824e-05,             9.6824e-05,             9.6824e-05
                     24,                0.45824,                0.37934,                 1.0129,                0.95329,                0.94209,                0.97139,                 0.9201,                0.33728,                0.28482,                0.92546,             9.4316e-05,             9.4316e-05,             9.4316e-05
                     25,                 0.4449,                 0.3761,                 1.0077,                 0.9519,                0.95534,                0.97397,                0.92207,                0.34253,                    0.3,                0.92908,             9.1808e-05,             9.1808e-05,             9.1808e-05
                     26,                0.45059,                  0.372,                 1.0089,                0.96143,                0.95612,                0.97674,                0.92206,                0.34112,                0.26579,                0.93586,               8.93e-05,               8.93e-05,               8.93e-05
                     27,                0.44052,                0.35846,                 1.0017,                0.95482,                0.94723,                0.97503,                0.91894,                0.33479,                0.29508,                0.92692,             8.6792e-05,             8.6792e-05,             8.6792e-05
                     28,                 0.4475,                0.37011,                 1.0138,                 0.9579,                0.95345,                0.97327,                0.92115,                0.34013,                0.28257,                0.92512,             8.4284e-05,             8.4284e-05,             8.4284e-05
                     29,                0.42713,                0.34903,                0.99701,                0.94347,                0.95602,                0.97428,                0.92418,                0.32923,                0.28332,                0.91758,             8.1776e-05,             8.1776e-05,             8.1776e-05
                     30,                0.43075,                0.34704,                0.99921,                  0.962,                 0.9493,                 0.9783,                0.92447,                0.33042,                0.26277,                0.91274,             7.9268e-05,             7.9268e-05,             7.9268e-05
                     31,                0.42227,                0.33535,                0.99389,                 0.9605,                0.94187,                0.97094,                0.92275,                0.32722,                0.28026,                0.91769,              7.676e-05,              7.676e-05,              7.676e-05
                     32,                0.42468,                0.34236,                0.99677,                0.95746,                0.95264,                0.97425,                0.92529,                0.33338,                0.26346,                0.92313,             7.4252e-05,             7.4252e-05,             7.4252e-05
                     33,                0.42399,                0.32622,                0.99643,                0.95355,                0.95581,                0.97612,                0.92764,                0.32761,                0.26821,                0.92239,             7.1744e-05,             7.1744e-05,             7.1744e-05
                     34,                0.41037,                0.32497,                0.98805,                0.94761,                0.95991,                 0.9781,                0.93029,                0.33817,                0.26764,                0.93725,             6.9236e-05,             6.9236e-05,             6.9236e-05
                     35,                0.41044,                0.32033,                0.98664,                0.95729,                 0.9442,                0.97455,                0.92456,                0.33665,                0.28618,                 0.9217,             6.6728e-05,             6.6728e-05,             6.6728e-05
                     36,                0.41014,                0.32295,                0.98881,                0.95963,                0.93888,                0.97588,                 0.9271,                0.33566,                0.27287,                0.93045,              6.422e-05,              6.422e-05,              6.422e-05
                     37,                0.40576,                0.31175,                0.98775,                0.95985,                0.95598,                 0.9794,                0.93332,                0.31192,                0.25436,                0.91692,             6.1712e-05,             6.1712e-05,             6.1712e-05
                     38,                0.39848,                0.31116,                0.97913,                0.95421,                0.95198,                0.97501,                0.92639,                0.32431,                0.25328,                0.92404,             5.9204e-05,             5.9204e-05,             5.9204e-05
                     39,                0.39468,                    0.3,                0.97816,                0.95839,                0.95608,                0.97723,                 0.9293,                0.32758,                0.25401,                0.92749,             5.6696e-05,             5.6696e-05,             5.6696e-05
                     40,                 0.3937,                0.30321,                0.97701,                0.95561,                0.95823,                0.97672,                0.92878,                0.32096,                0.24655,                0.92618,             5.4188e-05,             5.4188e-05,             5.4188e-05
                     41,                 0.3857,                0.29103,                0.97575,                0.96188,                0.94904,                0.97745,                 0.9314,                0.31456,                0.25423,                0.91104,              5.168e-05,              5.168e-05,              5.168e-05
                     42,                0.38701,                0.29361,                0.97223,                0.96688,                0.95443,                0.97765,                0.93097,                0.31423,                0.25214,                0.92316,             4.9172e-05,             4.9172e-05,             4.9172e-05
                     43,                0.38632,                0.29005,                0.97422,                0.96284,                0.95395,                0.97394,                0.92678,                0.31991,                0.26052,                0.92342,             4.6664e-05,             4.6664e-05,             4.6664e-05
                     44,                0.37712,                0.28166,                0.96825,                0.96226,                0.95351,                0.97558,                0.92965,                0.31251,                0.24806,                0.91321,             4.4156e-05,             4.4156e-05,             4.4156e-05
                     45,                0.37524,                0.28102,                0.96855,                0.96559,                 0.9591,                0.97639,                0.93275,                0.30706,                0.24102,                0.91224,             4.1648e-05,             4.1648e-05,             4.1648e-05
                     46,                 0.3729,                0.28067,                0.96856,                0.96782,                0.96071,                0.97775,                0.93571,                0.30568,                0.23794,                0.91511,              3.914e-05,              3.914e-05,              3.914e-05
                     47,                0.36937,                0.27411,                0.96542,                0.96743,                0.95554,                0.97892,                0.93429,                0.31106,                0.23382,                0.92106,             3.6632e-05,             3.6632e-05,             3.6632e-05
                     48,                0.36282,                0.26889,                0.96371,                0.96805,                0.95702,                0.97711,                0.93686,                0.30845,                0.23276,                0.91935,             3.4124e-05,             3.4124e-05,             3.4124e-05
                     49,                0.36086,                0.26374,                0.96015,                0.96562,                0.96069,                 0.9777,                0.93646,                0.30483,                0.23452,                0.92184,             3.1616e-05,             3.1616e-05,             3.1616e-05
                     50,                0.36243,                0.26609,                0.96597,                0.96406,                0.95961,                 0.9801,                0.93736,                0.30068,                 0.2299,                 0.9128,             2.9108e-05,             2.9108e-05,             2.9108e-05
                     51,                0.18164,                0.13866,                0.83724,                0.95602,                0.95701,                0.97514,                0.92902,                0.31181,                0.24154,                0.92839,               2.66e-05,               2.66e-05,               2.66e-05
                     52,                0.17656,                0.13311,                0.83458,                0.96083,                0.96311,                0.97193,                 0.9282,                0.30739,                0.24024,                0.92621,             2.4092e-05,             2.4092e-05,             2.4092e-05
                     53,                0.17462,                0.13026,                0.83823,                0.95867,                0.95969,                0.97155,                0.92819,                0.30473,                0.24237,                0.91884,             2.1584e-05,             2.1584e-05,             2.1584e-05
                     54,                0.16999,                0.12682,                0.83123,                0.95809,                0.95902,                0.97404,                0.93033,                0.30188,                0.23789,                0.91885,             1.9076e-05,             1.9076e-05,             1.9076e-05
                     55,                0.16426,                0.12426,                0.82528,                0.96311,                0.95887,                0.97624,                0.93394,                0.29958,                 0.2328,                0.91979,             1.6568e-05,             1.6568e-05,             1.6568e-05
                     56,                0.16217,                0.12171,                0.82733,                 0.9638,                0.96092,                0.97604,                0.93327,                0.30534,                0.23343,                0.92306,              1.406e-05,              1.406e-05,              1.406e-05
                     57,                0.16048,                0.11811,                0.82065,                0.96603,                0.95637,                0.97589,                0.93401,                0.29917,                0.23197,                0.92081,             1.1552e-05,             1.1552e-05,             1.1552e-05
                     58,                0.15819,                0.11708,                0.82706,                0.96572,                0.96033,                0.97664,                0.93394,                0.29787,                0.23575,                0.92013,              9.044e-06,              9.044e-06,              9.044e-06
                     59,                0.15403,                 0.1134,                0.81914,                0.96405,                0.95535,                0.97661,                0.93523,                0.29755,                0.23581,                0.92002,              6.536e-06,              6.536e-06,              6.536e-06
                     60,                0.15252,                0.11301,                0.82019,                 0.9627,                0.96085,                 0.9781,                0.93629,                0.29919,                0.23417,                0.92347,              4.028e-06,              4.028e-06,              4.028e-06
